label,area
1272,2.0
1273,2.0
1274,2.0
1275,1.0
1276,1.0
1277,1.0
1278,1.0
1279,1.0
1280,1.0
1281,1.0
1282,1.0
1283,3.0
1284,1.0
1285,2.0
1286,2.0
1287,2.0
1288,1.0
1289,1.0
1290,4.0
1291,25.0
1292,2.0
1293,1.0
1294,1.0
1295,1.0
1296,1186.0
1297,3.0
1298,2.0
1299,2.0
1300,1.0
1301,105.0
1302,26.0
1303,1.0
1304,2.0
1305,7.0
1306,1.0
1307,2.0
1308,3.0
1309,6.0
1310,5.0
1311,1.0
1312,8.0
1313,1.0
1314,1.0
1315,2.0
1316,3.0
1317,2.0
1318,2.0
1319,1.0
1320,1.0
1321,2.0
1322,3.0
1323,1.0
1324,1.0
1325,1.0
1326,18.0
1327,1.0
1328,2.0
1329,2.0
1330,3.0
1331,2.0
1332,4.0
1333,1.0
1334,2.0
1335,11.0
1336,2.0
1337,1.0
1338,3.0
1339,1.0
1340,4.0
1341,22.0
1342,976.0
1343,7874.0
1344,1.0
1345,25.0
1346,3.0
1347,4.0
1348,1.0
1349,25.0
1350,2.0
1351,1.0
1352,510.0
1353,2.0
1354,1.0
1355,1.0
1356,1.0
1357,1.0
1358,4.0
1359,2.0
1360,5.0
1361,3.0
1362,2.0
1363,2.0
1364,1.0
1365,157.0
1366,16.0
1367,8.0
1368,4945.0
1369,2.0
1370,3.0
1371,3.0
1372,11.0
1373,3.0
1374,5.0
1375,11008.0
1376,2.0
1377,28.0
1378,3.0
1379,1.0
1380,12.0
1381,3.0
1382,1.0
1383,18.0
1384,4.0
1385,3.0
1386,2.0
1387,23.0
1388,5.0
1389,3673.0
1390,3.0
1391,656.0
1392,516.0
1393,3782.0
1394,55.0
1395,18.0
1396,1471.0
1397,2.0
1398,10.0
1399,2.0
1400,3907.0
1401,2020.0
1402,4.0
1403,3.0
1404,3743.0
1405,2.0
1406,2.0
